,day,room,capacity
0,1,0,1
1,1,1,1
2,1,2,1
3,2,0,1
4,2,1,1
5,2,2,1
6,3,0,1
7,3,1,1
8,3,2,1
9,4,0,1
10,4,1,1
11,4,2,1
12,5,0,1
13,5,1,1
14,5,2,1
15,6,0,1
16,6,1,1
17,6,2,1
18,7,0,1
19,7,1,1
20,7,2,1
21,8,0,1
22,8,1,1
23,8,2,1
